==================================================
        API CONSUMPTION & COST REPORT             
==================================================

Total Estimated Cost: $0.0728
Total Tokens: 1,378,926

Google (Gemini) Cost: $0.0728
Other Costs: $0.0000

--------------------------------------------------
Step                      | Model                     | Cost      
--------------------------------------------------
EVENT: Initialization     | N/A                       | $0.000000
STEP_TOTAL: brand_discov  | unknown                   | $0.000000
web_research              | unknown                   | $0.000000
STEP_TOTAL: web_research  | unknown                   | $0.000000
serp_analysis             | unknown                   | $0.000000
STEP_TOTAL: serp_analysi  | unknown                   | $0.000000
intent_title              | unknown                   | $0.000000
STEP_TOTAL: intent_title  | google/gemini-3-flash-pr  | $0.000089
STEP_TOTAL: style_analys  | google/gemini-3-flash-pr  | $0.000089
content_strategy          | unknown                   | $0.000000
STEP_TOTAL: content_stra  | google/gemini-3-flash-pr  | $0.000662
STEP_TOTAL: outline_gene  | google/gemini-3-flash-pr  | $0.012133
section_1_Introduction    | unknown                   | $0.000000
section_1_Introduction    | unknown                   | $0.000000
EVENT: Section Finalized  | N/A                       | $0.000000
section_2_دليل البحث عن   | unknown                   | $0.000000
section_2_دليل البحث عن   | unknown                   | $0.000000
section_2_دليل البحث عن   | unknown                   | $0.000000
EVENT: Section Finalized  | N/A                       | $0.000000
section_3_أفضل أحياء الق  | unknown                   | $0.000000
section_3_أفضل أحياء الق  | unknown                   | $0.000000
section_3_أفضل أحياء الق  | unknown                   | $0.000000
EVENT: Section Finalized  | N/A                       | $0.000000
section_4_لماذا تكتسح عر  | unknown                   | $0.000000
section_4_لماذا تكتسح عر  | unknown                   | $0.000000
section_4_لماذا تكتسح عر  | unknown                   | $0.000000
EVENT: Section Finalized  | N/A                       | $0.000000
section_5_أنظمة السداد و  | unknown                   | $0.000000
section_5_أنظمة السداد و  | unknown                   | $0.000000
EVENT: Section Finalized  | N/A                       | $0.000000
section_6_المواصفات الفن  | unknown                   | $0.000000
section_6_المواصفات الفن  | unknown                   | $0.000000
section_6_المواصفات الفن  | unknown                   | $0.000000
EVENT: Section Finalized  | N/A                       | $0.000000
section_7_الأسئلة الشائع  | unknown                   | $0.000000
section_7_الأسئلة الشائع  | unknown                   | $0.000000
EVENT: Section Finalized  | N/A                       | $0.000000
section_8_خطوتك القادمة   | unknown                   | $0.000000
section_8_خطوتك القادمة   | unknown                   | $0.000000
section_8_خطوتك القادمة   | unknown                   | $0.000000
EVENT: Section Finalized  | N/A                       | $0.000000
STEP_TOTAL: content_writ  | google/gemini-3-flash-pr  | $0.005435
STEP_TOTAL: humanizer     | google/gemini-3-flash-pr  | $0.005435
STEP_TOTAL: image_prompt  | google/gemini-3-flash-pr  | $0.005435
STEP_TOTAL: master_frame  | google/gemini-3-flash-pr  | $0.005435
STEP_TOTAL: image_genera  | google/gemini-3-flash-pr  | $0.005435
STEP_TOTAL: assembly      | google/gemini-3-flash-pr  | $0.005435
STEP_TOTAL: final_humani  | google/gemini-3-flash-pr  | $0.005435
STEP_TOTAL: image_insert  | google/gemini-3-flash-pr  | $0.005435
STEP_TOTAL: meta_schema   | google/gemini-3-flash-pr  | $0.005435
STEP_TOTAL: article_vali  | google/gemini-3-flash-pr  | $0.005435
STEP_TOTAL: render_html   | google/gemini-3-flash-pr  | $0.005435
