==================================================
        API CONSUMPTION & COST REPORT             
==================================================

Total Estimated Cost: $0.0000
Total Tokens: 1,286,886

Google (Gemini) Cost: $0.0000
Other Costs: $0.0000

--------------------------------------------------
Step                      | Model                     | Cost      
--------------------------------------------------
EVENT: Initialization     | N/A                       | $0.000000
STEP_TOTAL: brand_discov  | unknown                   | $0.000000
web_research              | unknown                   | $0.000000
STEP_TOTAL: web_research  | unknown                   | $0.000000
serp_analysis             | unknown                   | $0.000000
STEP_TOTAL: serp_analysi  | unknown                   | $0.000000
intent_title              | unknown                   | $0.000000
STEP_TOTAL: intent_title  | openai/gpt-5-mini         | $0.000000
STEP_TOTAL: style_analys  | openai/gpt-5-mini         | $0.000000
content_strategy          | unknown                   | $0.000000
STEP_TOTAL: content_stra  | openai/gpt-5-mini         | $0.000000
STEP_TOTAL: outline_gene  | openai/gpt-5-mini         | $0.000000
section_1_Introduction    | unknown                   | $0.000000
EVENT: Section Finalized  | N/A                       | $0.000000
section_2_شقق للبيع في ا  | unknown                   | $0.000000
section_2_شقق للبيع في ا  | unknown                   | $0.000000
section_2_شقق للبيع في ا  | unknown                   | $0.000000
EVENT: Section Finalized  | N/A                       | $0.000000
section_3_مواصفات التشطي  | unknown                   | $0.000000
section_3_مواصفات التشطي  | unknown                   | $0.000000
section_3_مواصفات التشطي  | unknown                   | $0.000000
EVENT: Section Finalized  | N/A                       | $0.000000
section_4_لماذا تختار عر  | unknown                   | $0.000000
section_4_لماذا تختار عر  | unknown                   | $0.000000
EVENT: Section Finalized  | N/A                       | $0.000000
section_5_أين في القاهرة  | unknown                   | $0.000000
section_5_أين في القاهرة  | unknown                   | $0.000000
EVENT: Section Finalized  | N/A                       | $0.000000
section_6_خدمات ومرافق ت  | unknown                   | $0.000000
section_6_خدمات ومرافق ت  | unknown                   | $0.000000
section_6_خدمات ومرافق ت  | unknown                   | $0.000000
EVENT: Section Finalized  | N/A                       | $0.000000
section_7_خيارات الدفع و  | unknown                   | $0.000000
section_7_خيارات الدفع و  | unknown                   | $0.000000
EVENT: Section Finalized  | N/A                       | $0.000000
section_8_دليل التحقق: ك  | unknown                   | $0.000000
section_8_دليل التحقق: ك  | unknown                   | $0.000000
section_8_دليل التحقق: ك  | unknown                   | $0.000000
EVENT: Section Finalized  | N/A                       | $0.000000
section_9_قارن الخيارات:  | unknown                   | $0.000000
section_9_قارن الخيارات:  | unknown                   | $0.000000
EVENT: Section Finalized  | N/A                       | $0.000000
section_10_خطوات الشراء   | unknown                   | $0.000000
section_10_خطوات الشراء   | unknown                   | $0.000000
EVENT: Section Finalized  | N/A                       | $0.000000
section_11_الأسئلة الحاس  | unknown                   | $0.000000
section_11_الأسئلة الحاس  | unknown                   | $0.000000
EVENT: Section Finalized  | N/A                       | $0.000000
section_12_خطوتك القادمة  | unknown                   | $0.000000
section_12_خطوتك القادمة  | unknown                   | $0.000000
section_12_خطوتك القادمة  | unknown                   | $0.000000
EVENT: Section Finalized  | N/A                       | $0.000000
STEP_TOTAL: content_writ  | openai/gpt-5-mini         | $0.000000
STEP_TOTAL: humanizer     | openai/gpt-5-mini         | $0.000000
STEP_TOTAL: image_prompt  | openai/gpt-5-mini         | $0.000000
STEP_TOTAL: master_frame  | openai/gpt-5-mini         | $0.000000
STEP_TOTAL: image_genera  | openai/gpt-5-mini         | $0.000000
STEP_TOTAL: assembly      | openai/gpt-5-mini         | $0.000000
STEP_TOTAL: final_humani  | openai/gpt-5-mini         | $0.000000
STEP_TOTAL: image_insert  | openai/gpt-5-mini         | $0.000000
STEP_TOTAL: meta_schema   | openai/gpt-5-mini         | $0.000000
STEP_TOTAL: article_vali  | openai/gpt-5-mini         | $0.000000
STEP_TOTAL: render_html   | openai/gpt-5-mini         | $0.000000
