==================================================
        API CONSUMPTION & COST REPORT             
==================================================

Total Estimated Cost: $0.0547
Total Tokens: 1,165,114

Google (Gemini) Cost: $0.0547
Other Costs: $0.0000

--------------------------------------------------
Step                      | Model                     | Cost      
--------------------------------------------------
EVENT: Initialization     | N/A                       | $0.000000
brand_discovery           | unknown                   | $0.000000
STEP_TOTAL: brand_discov  | unknown                   | $0.000000
hybrid_research           | unknown                   | $0.000000
STEP_TOTAL: web_research  | unknown                   | $0.000000
STEP_TOTAL: serp_analysi  | unknown                   | $0.000000
intent_title              | unknown                   | $0.000000
STEP_TOTAL: intent_title  | google/gemini-3-flash-pr  | $0.000091
STEP_TOTAL: style_analys  | google/gemini-3-flash-pr  | $0.000091
STEP_TOTAL: content_stra  | google/gemini-3-flash-pr  | $0.000091
STEP_TOTAL: outline_gene  | google/gemini-3-flash-pr  | $0.004846
section_1_Introduction    | unknown                   | $0.000000
EVENT: Section Finalized  | N/A                       | $0.000000
section_2_تيك إيفنت: أفض  | unknown                   | $0.000000
section_2_تيك إيفنت: أفض  | unknown                   | $0.000000
section_2_تيك إيفنت: أفض  | unknown                   | $0.000000
EVENT: Section Finalized  | N/A                       | $0.000000
section_3_لماذا يفضل الم  | unknown                   | $0.000000
section_3_لماذا يفضل الم  | unknown                   | $0.000000
section_3_لماذا يفضل الم  | unknown                   | $0.000000
EVENT: Section Finalized  | N/A                       | $0.000000
section_4_الأمان والموثو  | unknown                   | $0.000000
section_4_الأمان والموثو  | unknown                   | $0.000000
section_4_الأمان والموثو  | unknown                   | $0.000000
EVENT: Section Finalized  | N/A                       | $0.000000
section_5_مقارنة تيك إيف  | unknown                   | $0.000000
section_5_مقارنة تيك إيف  | unknown                   | $0.000000
EVENT: Section Finalized  | N/A                       | $0.000000
section_6_خطوات حجز تذكر  | unknown                   | $0.000000
section_6_خطوات حجز تذكر  | unknown                   | $0.000000
EVENT: Section Finalized  | N/A                       | $0.000000
section_7_الأسئلة الشائع  | unknown                   | $0.000000
section_7_الأسئلة الشائع  | unknown                   | $0.000000
EVENT: Section Finalized  | N/A                       | $0.000000
section_8_احجز مكانك في   | unknown                   | $0.000000
section_8_احجز مكانك في   | unknown                   | $0.000000
EVENT: Section Finalized  | N/A                       | $0.000000
STEP_TOTAL: content_writ  | google/gemini-3-flash-pr  | $0.005507
STEP_TOTAL: humanizer     | google/gemini-3-flash-pr  | $0.005507
STEP_TOTAL: image_prompt  | google/gemini-3-flash-pr  | $0.005507
STEP_TOTAL: master_frame  | google/gemini-3-flash-pr  | $0.005507
STEP_TOTAL: image_genera  | google/gemini-3-flash-pr  | $0.005507
STEP_TOTAL: assembly      | google/gemini-3-flash-pr  | $0.005507
STEP_TOTAL: image_insert  | google/gemini-3-flash-pr  | $0.005507
STEP_TOTAL: meta_schema   | google/gemini-3-flash-pr  | $0.005507
STEP_TOTAL: render_html   | google/gemini-3-flash-pr  | $0.005507
